Gene,Direction,Degree,Betweenness,Closeness,Eigenvector,MCC,Module,Hub_Rank
ISG15,Up,36,0.0556,0.8333,0.9966,91065150645235970,2,1
DDX58,NA,35,0.0725,0.8182,0.9505,89639785144991600,2,2
IFIT2,Up,35,0.0426,0.8036,0.9848,91065150681161780,3,2
IFIT3,Up,35,0.0395,0.8182,1,91065152122156820,3,2
IFI44,Up,34,0.0283,0.8036,0.9869,91065150685152720,3,5
IFIH1,Up,34,0.0499,0.7895,0.962,91065149723118290,2,5
IFI44L,Up,33,0.0316,0.7895,0.9657,91065149727148820,3,7
OAS2,Up,33,0.0195,0.7895,0.9858,91065152122116480,1,7
RSAD2,Up,32,0.0139,0.7627,0.9716,91065152118124800,1,9
IFIT1,Up,31,0.0131,0.7377,0.9446,91065150162202320,1,10
IRF7,Up,31,0.0231,0.7377,0.9111,51939520617601490,1,10
MX1,Up,31,0.0249,0.75,0.9361,91065137712151680,1,10
XAF1,Up,29,0.0145,0.7377,0.8859,39842237058220800,3,13
IRF9,Up,28,0.0533,0.7143,0.8391,26324795576218320,1,14
IFI6,Up,27,0.0038,0.6818,0.8695,9105859933632e4,1,15
OAS3,Up,27,0.004,0.6923,0.8791,91062520922419200,1,15
MX2,Up,26,0.0069,0.6818,0.8282,57622672942289280,1,17
OASL,Up,26,0.0029,0.6818,0.8572,9105990461568e4,1,17
DDX60,Up,25,0.0053,0.6618,0.8028,32014497293049600,3,19
USP18,Up,25,0.0071,0.6618,0.8181,91055981592576030,1,19
