gene,GSE146423_log2FC,GSE233049_log2FC,GSE265922_log2FC,miR_146a_5p,miR_146b_5p,miR_134_5p,in_5gene_panel
PARP9,2.84,3.63,1.12,,yes,,
PARP14,2.02,3.73,3.09,,,,
DDX60,3.15,4.52,3.1,,,,
RIGI,3.03,5.53,4.32,,,,
IFIT2,4.28,8.35,8.01,,,,
IFIT3,3.84,7.5,7.14,yes,yes,,yes
OAS3,2.19,3.49,1.85,,,,
HELZ2,3.39,4.57,1.6,,,,
DTX3L,2.16,3.11,1.97,,,,
MX1,7.1,9.06,5.28,,,,
ISG15,4.77,7.15,6.5,yes,,,
TRANK1,2.46,5.05,3.09,,,,
IFIT1,6.0,8.08,7.07,yes,,,
HERC6,3.11,2.83,3.1,,,,
SAMD9,2.23,4.32,3.59,,,,
IFIH1,3.1,5.83,5.72,,,,
IFI6,5.28,6.33,3.92,,yes,,
IFI44,5.95,7.56,7.58,yes,,,
APOL6,1.93,3.51,1.38,,yes,,
SAMD9L,3.57,5.16,1.79,yes,yes,,yes
HERC5,2.84,5.14,4.68,,,,
OAS2,6.24,8.92,7.11,,,,
IFIT5,2.06,2.66,2.21,yes,,,
IRF9,1.92,2.73,2.36,,,,
SAMHD1,1.94,2.93,1.39,,,,
CMPK2,5.14,7.3,6.76,,,,
TRIM14,1.39,1.7,1.98,,,,
ZNFX1,1.14,2.53,2.43,,,,
OASL,5.6,8.44,8.01,yes,,,
TRIM22,3.71,5.63,1.16,yes,,,
PARP10,2.85,5.69,1.98,,,,
IFITM1,2.48,4.35,2.36,yes,,,
IFI27,5.71,7.81,3.64,yes,,,
IRF7,2.17,5.64,2.52,yes,,,yes
IFI44L,7.74,7.44,2.13,yes,,,
IFI16,1.94,3.8,1.21,,,,
USP18,2.0,3.97,2.61,,,,
NLRC5,1.91,3.83,1.07,,,,
TRIM21,1.59,3.04,1.83,,,,
TDRD7,1.14,2.72,1.49,,,,
APOL1,1.25,3.72,3.66,,,,
BATF2,2.9,5.9,2.13,,,,
XAF1,7.58,9.37,5.21,,yes,,
PML,1.35,2.92,1.13,,,,
RSAD2,5.91,7.95,8.34,yes,,,yes
GBP1,2.76,4.33,4.75,,,,
TAP1,1.14,3.0,1.42,,,,
PPM1K,1.83,3.93,5.54,,,,
LAMP3,3.51,7.07,4.34,,,,
BST2,4.24,5.58,1.53,,,,
SMTNL1,2.52,4.46,3.08,,,,
PSMB8-AS1,1.22,3.08,2.75,,,,
TLDC2,1.53,2.84,4.26,,,,
UBA7,2.43,5.82,1.78,,,,
RASGRP3,1.37,3.35,1.5,,,,
MX2,6.26,9.02,5.81,yes,,,
HLA-F,1.11,3.8,5.16,,,,
IFNL2,4.58,9.68,8.8,,,,
THEMIS2,1.9,5.53,1.75,,,,
PLEKHA4,1.28,7.89,7.38,,,,
GBP4,2.63,6.0,8.61,,,,
PATL2,1.92,4.78,7.2,,,,
CCL5,1.8,8.8,8.67,yes,,,yes
PLSCR2,1.42,2.48,2.95,,,,
TULP2,1.8,4.17,5.95,,,,
PLA1A,1.35,3.87,3.89,,,,
